Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
Iron_Man,2008,UA,126,Action,7.9,Jon Favreau
LÃ¥t_den_rÃ¤tte_komma_in,2008,R,114,Crime,7.9,Tomas Alfredson
The_Wrestler,2008,UA,109,Drama,7.9,Darren Aronofsky
Slumdog_Millionaire,2008,UA,120,Drama,8,Danny Boyle
Yip_Man,2008,R,106,Action,8,Wilson Yip
A_Wednesday,2008,UA,104,Action,8.1,Neeraj Pandey
Gran_Torino,2008,R,116,Drama,8.1,Clint Eastwood
Okuribito,2008,PG-13,130,Drama,8.1,YÃ´jirÃ´ Takita
WALLÂ·E,2008,U,98,Animation,8.4,Andrew Stanton
The_Dark_Knight,2008,UA,152,Action,9,Christopher Nolan
Celda_211,2009,,113,Action,7.6,Daniel MonzÃ³n
Harry_Potter_and_the_Half-Blood_Prince,2009,UA,153,Action,7.6,David Yates
Sherlock_Holmes,2009,PG-13,128,Action,7.6,Guy Ritchie
The_Blind_Side,2009,UA,129,Biography,7.6,John Lee Hancock
The_Secret_of_Kells,2009,,71,Animation,7.6,Tomm Moore
Watchmen,2009,A,162,Action,7.6,Zack Snyder
Zombieland,2009,A,88,Adventure,7.6,Ruben Fleischer
(500)_Days_of_Summer,2009,UA,95,Comedy,7.7,Marc Webb
Coraline,2009,U,100,Animation,7.7,Henry Selick
The_Hangover,2009,UA,100,Comedy,7.7,Todd Phillips
Avatar,2009,UA,162,Action,7.8,James Cameron
Das_weiÃŸe_Band_-_Eine_deutsche_Kindergeschichte,2009,UA,144,Drama,7.8,Michael Haneke
MÃ¤n_som_hatar_kvinnor,2009,R,152,Crime,7.8,Niels Arden Oplev
Madeo,2009,R,129,Crime,7.8,Bong Joon Ho
Mr_Nobody,2009,R,141,Drama,7.8,Jaco Van Dormael
District_9,2009,A,112,Action,7.9,Neill Blomkamp
Fantastic_Mr_Fox,2009,PG,87,Animation,7.9,Wes Anderson
Moon,2009,R,97,Drama,7.9,Duncan Jones
Star_Trek,2009,UA,127,Action,7.9,J.J. Abrams
Un_prophÃ¨te,2009,A,155,Crime,7.9,Jacques Audiard
Darbareye_Elly,2009,TV-PG,119,Drama,8,Asghar Farhadi
DevD,2009,A,144,Drama,8,Anurag Kashyap
Nefes_Vatan_Sagolsun,2009,,128,Action,8,Levent Semerci
Hachi_A_Dog's_Tale,2009,G,93,Biography,8.1,Lasse HallstrÃ¶m
Mary_and_Max,2009,,92,Animation,8.1,Adam Elliot
El_secreto_de_sus_ojos,2009,R,129,Drama,8.2,Juan JosÃ© Campanella
Up,2009,U,96,Animation,8.2,Pete Docter
Inglourious_Basterds,2009,A,153,Adventure,8.3,Quentin Tarantino
3_Idiots,2009,UA,170,Comedy,8.4,Rajkumar Hirani
Despicable_Me,2010,U,95,Animation,7.6,Pierre Coffin
HÃ¦vnen,2010,R,118,Drama,7.6,Susanne Bier
Kari-gurashi_no_Arietti,2010,U,94,Animation,7.6,Hiromasa Yonebayashi
Kick-Ass,2010,UA,117,Action,7.6,Matthew Vaughn
True_Grit,2010,PG-13,110,Drama,7.6,Ethan Coen
Flipped,2010,PG,90,Comedy,7.7,Rob Reiner
Harry_Potter_and_the_Deathly_Hallows_Part_1,2010,A,146,Adventure,7.7,David Yates
Tangled,2010,U,100,Animation,7.7,Nathan Greno
The_Social_Network,2010,UA,120,Biography,7.7,David Fincher
Ajeossi,2010,R,119,Action,7.8,Jeong-beom Lee
Ang-ma-reul_bo-at-da,2010,,144,Action,7.8,Jee-woon Kim
Kokuhaku,2010,,106,Drama,7.8,Tetsuya Nakashima
The_Fighter,2010,UA,116,Biography,7.8,David O. Russell
Black_Swan,2010,A,108,Drama,8,Darren Aronofsky
My_Name_Is_Khan,2010,UA,165,Drama,8,Karan Johar
The_King's_Speech,2010,U,118,Biography,8,Tom Hooper
